Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bhutan,12.20558333,11.99466667,11.82683333,12.08775,12.29966667,12.42841667,12.37466667,11.57883333,12.58983333,12.81491667,11.99841667,12.42575,12.18033333,12.23258333,12.20808333,12.44591667,12.854,12.6995,12.45633333,13.11475,12.94725,12.40025,12.27975,13.331375
Bolivia,21.32608333,21.75408333,21.20591667,21.52491667,21.98475,21.73058333,21.05366667,21.61133333,21.46733333,21.03175,21.07716667,21.23408333,21.60575,21.26275,21.571,21.37175,21.47,21.12933333,21.189,21.37833333,21.44641667,21.55541667,21.60716667,20.640875
Bosnia And Herzegovina,11.56425,10.34725,11.44441667,10.95966667,12.07908333,10.7585,10.252,10.7885,11.10458333,11.37641667,12.14808333,11.38066667,11.85833333,11.49516667,10.99833333,10.30208333,11.07125,12.00175,12.05666667,11.86066667,11.27141667,11.73975,12.029,12.8795
Botswana,22.94483333,22.05966667,23.29083333,22.68075,22.37916667,23.21383333,22.19966667,22.33683333,23.07058333,22.978,21.87233333,22.3505,22.98566667,23.39516667,22.34608333,23.36883333,21.804,22.4005,22.31116667,22.13975,22.73016667,21.95508333,22.40008333,21.82575
Brazil,25.27491667,25.29216667,25.25133333,25.35491667,25.45466667,25.55441667,25.33783333,25.55941667,25.95875,25.28658333,25.1965,25.50441667,25.80033333,25.621,25.4965,25.806,25.517,25.668,25.41033333,25.60058333,25.81241667,25.42891667,25.71708333,25.348125
British Virgin Islands,26.82166667,26.77758333,26.77641667,26.9305,27.04075,27.22891667,26.74358333,27.11466667,27.45233333,26.99825,26.73058333,27.13316667,27.29783333,27.37658333,27.02925,27.42466667,27.37483333,27.47,26.924,27.2385,27.59366667,27.15925,27.36016667,27.31233333
Bulgaria,11.59766667,10.18066667,11.02175,10.71341667,12.20041667,10.80966667,10.4285,10.22533333,11.09891667,11.7885,11.90683333,11.62383333,11.68033333,10.953,11.24166667,10.78158333,11.11758333,12.314,11.98775,11.894,11.76633333,11.04783333,12.02758333,13.411875
Burkina Faso,28.80633333,28.45941667,28.132,28.62108333,28.03933333,28.46958333,28.73908333,28.56916667,28.99291667,28.45116667,28.59141667,28.73216667,28.97816667,28.8835,28.98916667,29.23833333,28.92025,28.98325,28.48958333,29.083,29.28875,29.06066667,28.63,29.3855
Myanmar,24.06258333,24.14375,23.637,23.85691667,24.14333333,24.25525,24.10833333,23.87058333,24.78125,24.38016667,23.93083333,24.32725,24.29241667,24.28808333,24.10825,24.58108333,24.43216667,24.15966667,24.17591667,24.70133333,24.85866667,24.10933333,24.73441667,25.252875
Burundi,20.40933333,20.23833333,20.56825,20.48333333,20.539,20.82433333,20.39575,20.78425,20.8135,20.314,20.59583333,20.51033333,20.74983333,20.93133333,20.96041667,21.44216667,21.06633333,20.58091667,20.56791667,20.76425,21.06875,20.54591667,20.75425,20.86275
Cambodia,27.25933333,27.20141667,27.0705,26.90825,27.12308333,27.08041667,26.83883333,27.21933333,27.95683333,26.83475,27.05716667,27.24583333,27.55541667,27.29941667,27.17941667,27.39,27.41391667,27.24183333,26.89708333,27.25275,27.87525,27.0035,27.80625,28.259625
Cameroon,24.88966667,24.73383333,24.29733333,24.66225,24.63166667,24.818,24.70075,24.81733333,25.32308333,24.65616667,24.613,24.65191667,24.95025,25.01233333,25.17083333,25.26783333,25.29341667,25.20983333,25.12108333,25.40733333,25.46475,24.87658333,24.877,25.307625
Canada,-5.021916667,-4.426666667,-4.928916667,-4.4015,-4.433666667,-4.314333333,-4.941166667,-4.2315,-2.553916667,-3.186333333,-4.025916667,-3.100083333,-4.362833333,-3.8595,-4.923083333,-3.30875,-2.460166667,-4.060916667,-4.29525,-4.135083333,-1.887916667,-3.557083333,-3.176833333,-1.640666667
Cabo Verde,24.74533333,24.63141667,24.68225,24.44966667,24.45883333,25.16733333,25.23066667,25.30616667,25.37366667,24.627,24.71591667,25.28558333,25.10466667,24.82566667,24.89291667,25.133,25.06841667,24.79366667,24.96975,24.59908333,25.83241667,25.30883333,25.1035,24.5305
Central African Republic,25.71591667,25.69983333,25.09208333,25.74875,25.68275,25.63183333,25.71725,26.04266667,26.20433333,25.46941667,25.61333333,25.71016667,25.81941667,26.01483333,26.14,26.33216667,26.20508333,26.06783333,25.96866667,26.51091667,26.32983333,25.63875,25.6395,26.210875
Chad,27.61925,27.5535,26.91966667,27.61241667,27.26108333,27.46183333,27.7835,27.79741667,27.89583333,27.77983333,27.44783333,27.63525,27.77283333,27.87808333,28.01741667,28.21125,28.048,27.86016667,27.7025,28.32425,28.6965,27.78483333,27.70116667,28.356
Chile,9.83125,9.725416667,9.73775,9.944583333,10.05433333,9.784916667,9.758,10.337,10.29241667,9.829583333,9.564083333,9.819666667,9.742416667,10.07841667,10.20583333,9.891833333,10.174,9.489916667,10.1625,9.994416667,9.712833333,10.03225,10.27258333,9.877375
China,7.636,7.097166667,6.858416667,6.919416667,7.496,7.211583333,6.962666667,7.367333333,8.051833333,7.84025,7.238083333,7.596416667,7.795666667,7.522,7.71275,7.4135,7.948,8.12675,7.566083333,7.8095,7.548416667,7.357083333,7.077083333,9.295
Colombia,25.21916667,25.34183333,25.53358333,25.20641667,25.16241667,25.49283333,25.14991667,25.58,25.87916667,24.87066667,25.03016667,25.41191667,25.57075,25.65533333,25.55391667,25.67083333,25.47658333,25.494,25.15391667,25.61833333,25.68766667,25.24691667,25.38133333,25.5795
Comoros,26.15325,26.19683333,26.21783333,26.17816667,26.4525,26.38508333,25.95333333,26.30516667,26.64725,26.28808333,25.9955,26.41425,26.65775,26.6005,26.39191667,26.68216667,26.46583333,26.60458333,26.18825,26.59325,26.78683333,26.454,26.38325,26.542875
"Congo, Rep.",24.7665,24.8215,24.54983333,24.67983333,24.84291667,25.09691667,24.668,25.0605,25.5405,24.8125,24.786,24.73291667,25.04766667,25.05675,25.12816667,25.26891667,25.28266667,25.22975,25.29241667,25.34925,25.55941667,24.77508333,24.8735,25.139375
"Congo, Dem. Rep.",24.207,24.06325,24.13258333,24.08616667,24.22525,24.46991667,24.19775,24.53566667,24.73733333,24.01275,24.20616667,24.25625,24.56275,24.56733333,24.54775,24.98208333,24.52691667,24.38508333,24.34133333,24.54166667,24.75891667,24.16316667,24.20633333,24.560375
Costa Rica,26.29025,26.28991667,26.36175,26.31933333,26.42583333,26.29283333,25.9625,26.80625,26.97408333,25.86441667,26.07216667,26.11433333,26.30675,26.5775,26.5285,26.40425,26.51491667,26.38291667,26.05608333,26.52291667,26.22675,26.11341667,26.282,26.45755556
